name,vat,street,street2,city,zip,phone,mobile,email,is_company,customer_rank
SUDEEMANG ENTERPRISES,27ABYFS6766N1ZS,"REENA COMPLEX 719, 7th FLOOR, RAMDEV NAGAR ROAD","OPP. NATHANI STEEL,VIDYAVIHAR(W)",MUMBAI,400086,91-22-25021401 / 67997424,91-922343221,,True,1
7953- PPG ASIAN PAINT PVT LTD,27AAACA8832H1ZO,"A2 WAREHOUSE, ANTARIKSH, LOGIDROME , AT POST: AAMANE,NEAR","VASHERE PETROL PUMP PADGHA KALYAN ROAD,",BHIWANDI,421302,,,,True,1
7953-PPG ASIAN PAINTS PRIVATE LIMITED,27AAACA8832H1ZO,"Logidrome, At. Post: Aamane,, Near Vashere Petrol Pump,","Padgha – Kalyan road, Bhiwandi, India",Bhiwandi,421302,,,,True,1
7SPECTRUM ADVANCE MATERIALS INDIAPVT LTD,09AACCZ3229P1ZP,"309,ECO TECK III,, UDYOG KENDRA 2,","GAUTAM BUDH NAGAR,GREATER NOIDA,",UTTAR PRADESH,201308,,9205580195 Manisha Kandari,accounts@7spectrum.net,True,1
A and N CHEMICALS,,"402,4TH FLR,NANAK CHAMBERS,, OPP.FUN REPUBLIC CINEMA,OFF NEW LINK","ROAD,NEAR LAXMI INDUS.ESTATE,","ANDHERI (W),MUMBAI",400053,22-42418100,9323145185,trupti@amjeygroup.com,True,1
A D GLOBAL,27BEAPD5507C1Z5,"ECONOMIC FREIGHT CARRIER LIMITED, GODOWN NO.1 & 2","KAILASH COMPLEX, PURNA",BHIWANDI,421302,,,,True,1
A- ONE CHEM TRADE PVT.LTD.,24AAGCA2480D1Z4,"18, N.I.D.C., CENTRAL WARE HOUSE,, LAMBHA,",AHMEDABAD,AHMEDABAD,382405,,,,True,1
A. T. SOLVOCHEM,27BGDPS0488N1ZQ,"503,5th Floor,, BPS Aananda & Vardaan CHS LTD,","P.K.Road, Mulund (W) ,",Mumbai,400080,+91-22-4924 9199,,atsolvochem@gmail.com,True,1
A.K.CHEMICALS,24AACPV6251A1Z1,"258,, SAVLI INDUSTRIAL ESTATE,",SAVLI DIST.VADODARA,VADODARA,391775,91-22-28991825,9825920921,vinit@akchemi.com,True,1
A.R.ENTERPRISE,27AAAFA2464L1ZH,"720/721,7TH FLOOR,, PAREKH MARKET PREMIS 39,","KENNEDY BRIDGE,OPERA HOUSE,",MUMBAI,400004,23885055/23885056/49706311/49706411,,info@arenterprise.in,True,1
A.S.JOSHI & CO,27AAEFA9365L1ZZ,"31, FULGALI,, BHULESHWAR",,MUMBAI,400002,65093952/53,,asjoshico@gmail.com,True,1
A.S.JOSHI & CO.,27AAEFA9365L1ZZ,"813, TOPIWALA CENTRE,, OPP.RLY.STN, GOREGAON(W)",GOREGAON(W),MUMBAI,400062,022-28768362,,asjoshico@gmail.com,True,1
A.V.M SALES CORPORATION,19AAEFA5394H1Z8,"JALAN INDUSTRIAL COMPLEX, JANGALPUR,GATE#1,NH-6","VILL.BIPRANNAPARA,P.O.BEGRI",DIST-HOWRAH (W.B),711411,033-24988062/63/48,,avmsalesinfo@gmail.com,True,1
A.V.M.SALES CORPORATION,19AAEFA5394H1Z8,"1-D,CANAL ROAD, 3RD FLOOR, MAHAVIRTALLA,",NEAR TOLLYGUNJ BRIDGE,KOLKATA,700053,033-24988062/63/48,,avmsalesinfo@gmail.com,True,1
A.V.M.SALES PVT.LTD.,19AACCA7139H1ZL,"4, GANESH CHANDRA AVENEUE, 4TH FLOOR",KOLKATA,KOLKATA,700013,2237 9250/3305/7615,,info@avmspg.com,True,1
A.V.R.ORGANICS PVT LTD,36AAFCA6947C1ZQ,"SY NO.12 & 13,, YAVAPUR(V)","SADASIVAPET(MANDAL),MEDAK DIST",HYDERABAD,502291,08455-241148\244489,,csr@srdrugs.in,True,1
AAC INDIA,27AIVPT3472A1ZW,"3RD FL, GALA NO.3,, DEEP LAXMI PLAZA,KAMATGHAR,",DIST THANE,BHIWANDI,421302,,,aacindia@hotmaill.com,True,1
AADHUNIK INDUSTRIES,24AAMFA6849B1ZJ,"A1-7806 GIDC, ANKLESHWAR",DIST-BHARUCH,ANKLESHWAR,393002,"2377 0100, 2377 4610, +91-22-2372 3564, 23726950",9370260200,sakshi@mubychem.com,True,1
AADIT INDUSTRIAL CORPORATION,27AACPS9255P1ZT,"111,YOGESHWAR ,, 135/139 KAZI SYED STREET,",MASJID BUNDER,MUMBAI,400003,66313299,,aaditindl@gmail.com,True,1
AADITYA CHEMICALS,,"23/32-B,DIVYA DARSHAN, 4TH FLOOR,","JAGDUSHA NAGAR,GHATKOPAR (W)",MUMBAI,400086,9821912792,9224643360,aadityachemicals@gmail.com,True,1
AAKANKSHA ENTERPRISE,27AAAFA2875M1Z8,"214/A,, NEW APOLLO EST.,","MOGRA LANE,ANDHERI (EAST),",MUMBAI,400069,65093289,,aakanksha.entp777@gmail.com,True,1
AAKAR FRAGRANCE LTD,24AAGCA9173P1Z3,"C/O.ARSI INDUSTRIES, B/h GOKULES PETROL PUMP,","NEAR NAROL CROSS ROAD,",NAROL AHMEDABAD,382405,,,nirajdshah@yahoo.com,True,1
AAKAR INDIA,24AALFA6049E1ZM,"PLOT NO.C-1/B,124/13,, GIDC ESTATE",NANDESARI,DIST-BARODA,391340,,,aakarindia55@yahoo.co.in,True,1
AAKAR PAINTS,24AANFA2790C1ZO,"7607, PHASE -IV, GIDC VATVA,",AHMEDABAD,,382 44,2584 1071,,aakarpaints@gmail.com,True,1
AAKAR PLASTIC INDUSTRIES,08AAYFA2102P1Z2,"KHASRA NO.2,, KHODA MATA IND AREA,NASIRBAD ROAD,",KISHANGARH,DIST.AJMER,,,9829845545,aakarplast@gmail.com,True,1
AALTRAMED HEALTHCARE PVT LTD,36AAKCA1805A1ZA,"FLOT NO.101,PLOT NO.191,, WESTERN HILLS","PRAGATHI NAGAR,KUKSTPALLY,",HYDERABAD,500008,,,,True,1
AARAV FRAGRANCES & FLAVORS PRIVATE LTD,27AAGCA2145K1ZP,"PLOT NO C-61, T.T.C. INDUSTRIAL AREA, MIDC.,ROAD NO.RC1, THANE BELAPUR ROAD,","VILLAGE PAWANE,POST TURBHE,",NAVI MUMBAI,400705,,9892742999,sandip.bajage@aarav.co,True,1
AARAV FRAGRANCES & FLAVORS PVT.LTD,27AAGCA2145K1ZP,"GUT NO.296/171 JAMGHAR,, LAKHAMPUR,","PAST NEHROLI,",WADA,421303,41130200/01/02/03,,anil.dakua@aarav.co,True,1
AARAV INTERNATIONAL,,"SHOP NO.5,SHANTI KUNJ BUILDING,, 87-H,NAIGAUM CROSS ROAD,",DADAR (E),MUMBAI,400014,022-24111128,,,True,1
AAREY DRUGS & PHARMACEUTICALS LTD.,27AAACA5253A1Z9,"E-34 , MIDC,, TARAPUR","BOISAR ,",PALGHAR,401506,02525 271049,,aareydrugs@gmail.com,True,1
